cust_id,label
4,0.12508963
9,0.029328665
12,0.10546919
16,0.09444807
19,0.09368881
20,0.06455966
21,0.12637307
24,0.16618611
25,0.12741698
27,0.05214162
30,0.053903583
31,0.12091068
46,0.067462854
47,0.039705668
49,0.06531423
50,0.112208895
53,0.043469176
63,0.28730848
65,0.2360055
66,0.16068865
68,0.17867488
69,0.11640025
76,0.06677023
79,0.065761454
86,0.08126381
91,0.5183316
98,0.10933409
100,0.19402385
104,0.035242602
106,0.037560795
108,0.13970694
117,0.04973616
128,0.35128498
131,0.10395088
132,0.06349822
134,0.07118794
138,0.22018963
140,0.045343753
142,0.056424867
144,0.10399983
148,0.48606047
150,0.110246204
151,0.013959079
152,0.15198332
155,0.06909028
158,0.27035037
162,0.06799993
171,0.12743032
173,0.116649926
176,0.07277156
184,0.12452849
185,0.30148995
191,0.26714548
195,0.15028423
199,0.21928306
200,0.09620759
206,0.10789443
210,0.097128354
219,0.101747654
221,0.3147377
223,0.064064644
227,0.06239604
230,0.087710015
232,0.13181593
238,0.091669045
241,0.15474199
245,0.16224773
263,0.068985395
265,0.13628875
267,0.07591764
273,0.10414336
274,0.04683718
289,0.12681137
290,0.030189997
291,0.081109904
298,0.10323558
299,0.06934497
300,0.0344117
301,0.042459775
304,0.054813918
311,0.17731325
312,0.087347604
314,0.12221771
319,0.05392906
320,0.15825437
357,0.05383639
363,0.05118529
364,0.076584555
366,0.22196431
369,0.11309471
382,0.047497947
387,0.07452379
388,0.12021201
389,0.10011566
390,0.14438106
397,0.10751116
398,0.08209661
401,0.03268366
402,0.1351275
407,0.105530895
409,0.061068084
412,0.13313586
415,0.24753964
416,0.06157543
423,0.044061393
424,0.050228074
426,0.029029248
430,0.05203503
432,0.15902938
433,0.29322198
435,0.16652079
436,0.07795003
438,0.049388885
444,0.3830962
445,0.16703354
447,0.13629735
448,0.098669894
449,0.0941157
450,0.16534573
453,0.22121328
467,0.3764186
471,0.04840481
473,0.120703794
477,0.20672883
478,0.12795316
479,0.17684014
486,0.2397594
490,0.19804192
502,0.13798903
507,0.15914218
511,0.17443478
513,0.09985543
514,0.057616487
516,0.2644948
524,0.15212391
533,0.11706132
535,0.04653201
536,0.11726583
538,0.12456227
540,0.045534566
542,0.067770295
544,0.08802092
547,0.16213249
550,0.042204767
554,0.084039874
564,0.20723009
567,0.17966156
568,0.2215436
570,0.07404244
572,0.028695589
573,0.17491348
574,0.04390088
580,0.04930033
582,0.05328456
589,0.06470608
590,0.13856775
593,0.19107388
595,0.053958457
596,0.13315307
600,0.13191824
610,0.08194406
612,0.04254025
617,0.076873384
632,0.11991978
633,0.053987455
639,0.32655367
642,0.04761292
644,0.13598216
646,0.07490268
648,0.10232062
649,0.17572671
650,0.048187926
651,0.024023922
654,0.09550682
655,0.07338777
659,0.44839486
661,0.15422648
668,0.12991314
669,0.08426646
672,0.03464549
674,0.15548347
676,0.0552889
677,0.06078109
679,0.08495841
680,0.18481416
681,0.030048778
683,0.21840255
685,0.17457066
691,0.052433077
692,0.12505996
693,0.079129376
694,0.070762865
695,0.030362695
698,0.14838712
703,0.07094095
704,0.046201814
706,0.036477953
708,0.02684491
712,0.106197886
714,0.03192894
715,0.08263883
718,0.046302047
721,0.049910743
722,0.020865932
725,0.094630666
726,0.12773345
731,0.35294452
735,0.2143669
739,0.23910517
742,0.09758037
744,0.10309282
748,0.056901287
749,0.2043717
754,0.03091395
757,0.019886935
